lemmatized_review,user_sentiment
love album good hip hop current pop sound hype listen everyday gym star rating way metaphor crazy,1
good flavor review collect promotion,1
good flavor,1
read review look buy couple lubricant ultimately disappoint live review read starter boyfriend notice sort enhanced ' captivate ' sensation notice messy consistency reminiscent liquidy vaseline difficult clean pleasant especially lack ' captivate ' sensation expect disappoint pay lube will use use normal personal lubricant ) money ) mess,0
husband buy gel gel cause irritation feel like burn skin recommend gel,0
boyfriend buy spice thing bedroom highly disappointed product buy absolutely love ky think similar affect absolutely buy,0
buy early today excited check base product description expect like regular ky fan expect leave little disappointed,0
buy product husband try impressed tingling warm leave sticky ky product past ( love ky ) disappointing,0
husband buy extra fun werevboth extremely disappointed especially price waste money product feel sticky mess,0
get surprise husband special lube save money plain ky need lube wish return refund,1
try husband feel different effect change te ky gel sure want try,0
purchase thinking sort warm effect original waste money,1
buy enhance time bit abslutely disappointed especially,0
buy like n variety like disappointed product,0
time purchase type product maybe expect think warming feeling leave sticky try,1
buy try wife enjoy feel enhancement product hisher product,0
buy product spice thing fianc passion buy,0
buy try spice thing feel disappointing honest,0
buy well review jelly feel like work kind warmfeeling guess know suppose happen lol,1
time ky opinion feel like time time probably somthe wrong,0
notice product clearance store shop frequently decide try husband love go buy box leave like mention sure suppose lubricant purpose like well regular ky jelly ( tend dry disappear ) product stay awhile make pleasurable experience drawback find bit sticky apply hand leave sticky hand agree little go long way personally careful product skin irritation surprisingly actually help receive sample,1
product couple time recive free try good experiance feel warm pretty good sensation recomend,1
time stay bit sticky bad well product,1
love review collect promotion,1
good product great feeling,1
enjoy product husband + year marriage thing tend little tired bore thing need shake thing bit packaging pump dispenser awesome product disappoint little go long way provide slight warming sensation use sticky tacky excellent choice intimate lubricant receive free product purpose review opinion  ,1
awesome product couple warm feeling lubricant sticky like lot lubricantsit easy clean usei absolutely purchase future receive product free purpose reviewopinion  ,1
exceptional product smooth slimy warming sensation experience partner share lifetime great way shake thing,1
time boyfriend love sticky feel great entire time,1
great product exactly say work,1
yes scent good like lemon frost will able lotion   natural yucky ingredient like major brand lotion mineral oil petroleum etc completely work know opt organic choice good good popular nasty brand jr watkin deliver lotion soften hand body leave ungreasy smell perfect fiance like use pretty antilotion regard price absolutely right tooget,1
handcreamlemoncream refreshing fragrance wish day soothe hand compliment use especially daughter granddaughter want favorite hand cream wish watkin vanilla body cream favorite,1
smell like lemon cookie absolutely love kid love,1
love lotion smile time,1
hand cream nice desk work steal day break heart little,1
love lotion nice thick great fragrance use hand foot,1
sure work clear complexion (   week ) skin smooth clean,1
make skin feel clean super dry ashy not follow moisturiser soon m skin not feel oily tacky make skin radiant use foundation concealer need skin look hydrated,1
make face feel nice fresh   day slight acne clear right deff use day,1
soap year consider walmart well keep secret disappointed stop carry store location delighted online end blessing walmart save money ( sorry walmart ) delivery prompt stockpile leave house,1
will recommend product,0
receive   bottle order say pack   disappointed review collect promotion,0
think convenient bubble bath wash container mean buy twice son love bubble complaint,0
johnson need know right ok johnson baby yes long time let chase     come like     hard little love clean help blessing johnson bubble bath wash house,1
johnson need know right ok johnson baby yes long time let chase     come like     hard little love clean help blessing johnson bubble bath wash house,1
bubble fabulous smell good make kid happy,1
ma baby month old like fragnanace love feel like,1
lot fun bath use lot bubble nice addition kid want bath,1
absolutely love bubblebath smell good body wash little sensitive skin great option enjoy bubble break,1
buy small sample size couple month love smell wonderful recently buy new bottle think shower buy kid,1
pleasant smell need little lot bubble,1
baby love bubble mom love tear free fragrance,1
son love product make bath time fun look forward bubble body wash   make convenient,1
like fresh smell,1
( love ) product year change moisturize skin leave feel soft sit skin absorb leave slimy film skin long purchase product,1
oil olay   year product work new formula horrible find work skin like smell flowery thick old formula light,0
disappointed product year soft smell great result new formula feel greasy smell awful feel like skin look toned wrinkle free anymore star product yearswhy change bring old formula,1
product year terrific improved formula terrible hydrate power   thin sticki heaven help lip   taste terrible dump improved formula shop new moisturizer alas,0
take long find moisturizer work love product new formula smell strong feel greasy apply unfortunately long purchase product search moisturizer olay bring old formula well,1
swear product daily moisturizer love feel thick creamy great job greasy feel heavy buy container new formula terrible leave greasy feel away make impossible apply makeup   minute skin feel slimy touch slippery scent way strong olay old formula purchase,0
olay work overly dry skin find work skin hope able find work affrid will able find help skin dry get bad dig leg time,1
day row feel like wear mask skin feel unnatural dry skin feel coat instead hydrated purchase product,0
buy olay regenerist time cvs rite aid time purchase wal mart online store receive formula slightly different lotion smell like cheap product olay make disappointed order walmart online,0
mother vow product year year start pay attention skincare give bottle olay regenerist need   thing work ( spend money explore highend brand ) understand upset formula tamper new improved cream smell awful ( scent way strong ) appear water mushy face touch face point day start peel greasy work makeup mom force look new line product stay olay live sad sad sad bring old formula,0
product probably leave face feeling nourish recommend daily moisturizer makeup leave face crumble soon brush makeup probably well night cream,1
moisture thought try nutragena,0
greatgreatmefeel great smell great succulent take away dry skin silky smooth enriching,1
today time product feel great go immediately felt moisturize greasy smell great love formula fragrancefree option skin tend little sensitive fragrance final review couple week,1
love feel result day recommend friend review collect promotion,1
use night wrinkle face good job reduce wrinkle take couple year face review collect promotion,1
product work amazingly fragrance give headache eye water dailyolay fragrancefree product,1
love product having   year prefer old formulation well feel new hydrate leave thin film skin review collect promotion,1
want try answer question sound like product help skin face want face start sag like olay product review collect promotion,1
product help skin moisturize winter month morning night good result little heavy warm weather skin type review collect promotion,1
product smell amazing need use skin,1
love cleanser cream little thick mei trouble go bed ona bit greasy lot fragrance purchase micro sculpe cream wait try tonight point cream last long time use night becuase favorite,1
like product dislike dispenser hole strange dispense leave mess container review collect promotion,1
wake feel moisturize face honestly tell review collect promotion,1
avid olay girlthis favorite ib buy,1
today time product feel great go immediately felt moisturize greasy smell great love formula fragrancefree option skin tend little sensitive fragrance final review couple week,1
love smell supple skin feelsi actually wakeup sleep wrinkle face thee night time moisture cream use okay make afford buy,1
good cause work matter,1
product work notice major antiage quality help acne,1
recommend product money spend expensive lotion daily facial product know old start show sign real age olay product day concern care olay product year,0
smell good good smell store people buy,1
product work amazing make skin smell great skin smooth n healty,1
def recommend product smell good leave susie skin soft,1
great smell feel like try future thank,1
rate olay microsculpte fragrance free absorb foundation glob peel rub formula well day use absorb quickly greasy hydrate see wrinkle dissappear :),1
like way feel skin feel like sort skin mask ok people moisturizer creamy texture,1
today time product feel great go immediately felt moisturize greasy smell great love formula fragrancefree option skin tend little sensitive fragrance final review couple week,1
keep face feel moisturizer soft feel light weight skin review collect promotion,1
hydrate skin thick heavy review collect promotion,0
product go smooth make skin feel great instantly review collect promotion,1
try product regenerist good review collect promotion,1
like feel product smooth review collect promotion,1
week difference skin face review collect promotion,0
great productno oily feelingwould recommend review collect promotion,1
